Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_607.jpg;0;1;0;1.285802;100.4601;86.36501;1.235721;44.30598;-0.0007987576
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_672.jpg;0;1;0;1.350939;100.5184;86.42144;1.240216;44.28403;-0.0008371878
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_739.jpg;0;1;0;1.39801;100.5992;86.49966;1.243016;44.2623;-0.0009220524
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_806.jpg;0;1;0;1.44506;100.6623;86.56067;1.248967;44.24375;-0.0008971289
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_872.jpg;0;1;0;1.506474;100.7274;86.62357;1.251717;44.23219;-0.0009276329
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_43_939.jpg;0;1;0;1.554102;100.8173;86.71046;1.257874;44.2164;-0.0009578981
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_021.jpg;-2.993425;1;0;1.599578;100.9118;86.79951;1.256697;43.92506;0.0003423389
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_087.jpg;-6.77549;1;0;1.675213;100.9864;86.86706;1.260024;43.40397;0.001409387
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_155.jpg;-3.794804;1;0;1.722164;101.0637;86.93565;1.259437;42.83156;0.001652131
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_223.jpg;-0.8273168;1;0;1.767297;101.1697;87.03059;1.274238;42.462;0.0001939079
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_289.jpg;0;1;0;1.82739;101.2511;87.10426;1.280903;42.40268;-0.0008298618
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_351.jpg;0;1;0;1.873642;101.3346;87.1798;1.285534;42.38351;-0.0010772
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_418.jpg;0;1;0;1.918347;101.4489;87.28332;1.289159;42.36606;-0.001103728
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_489.jpg;0;1;0;1.963998;101.5371;87.36306;1.293937;42.35514;-0.001106346
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_554.jpg;0;1;0;2.023275;101.6272;87.44458;1.297493;42.34394;-0.001128017
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_622.jpg;0;1;0;2.068581;101.7506;87.55606;1.303455;42.32911;-0.001164261
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_689.jpg;0;1;0;2.113214;101.8454;87.64171;1.304318;42.31793;-0.00116218
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_754.jpg;0;1;0;2.172381;101.9422;87.72916;1.309577;42.30597;-0.001201467
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_821.jpg;0;1;0;2.21587;102.0744;87.84848;1.314458;42.29127;-0.001211504
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_888.jpg;0;1;0;2.260555;102.1759;87.94;1.317622;42.28124;-0.001249668
C:\Users\vmuniven\Desktop\Vivek\pyimagepro\RoboND-Rover-Project\data\IMG\robocam_2018_08_05_15_40_44_954.jpg;0;1;0;2.319126;102.2793;88.03326;1.319286;42.26838;-0.001246573
